=== SMELL DETAIL REPORT — Milestone 4 ===
Release  : 4.1.1
Generated: 2026-07-15
Selection: G=7, X=7 mod 5=2, case 2 (first+2 and last-2)
Ranked classes after filters: 602

================================================================================
CLASS A (rank 3, first+2):
  Path   : openjpa-kernel/src/main/java/org/apache/openjpa/kernel/BrokerImpl.java
  LOC    : 5510
  Nsmells: 1576

  #      Rule                                           Category                Lines       Message
  --------------------------------------------------------------------------------------------------------------------------------------------
  1      ExcessiveImports                               Design                  19-5510     A high number of imports can indicate a high degree of coupling within an object.
  375    ControlStatementBraces                         Code Style              1331        This statement should have braces
  376    AvoidRethrowingException                       Design                  1334-1336   A catch statement that catches an exception only to rethrow it should be avoided.
  377    AvoidCatchingGenericException                  Design                  1336        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  378    CognitiveComplexity                            Design                  1344        The method 'newObjectId(Class<?>, Object)' has a cognitive complexity of 19, current threshold is 15
  379    CyclomaticComplexity                           Design                  1344        The method 'newObjectId(Class<?>, Object)' has a cyclomatic complexity of 20.
  380    MethodArgumentCouldBeFinal                     Code Style              1344        Parameter 'cls' is not assigned and could be declared final
  381    MethodArgumentCouldBeFinal                     Code Style              1344        Parameter 'val' is not assigned and could be declared final
  382    OnlyOneReturn                                  Code Style              1346        A method should have only one exit point, and that should be the last statement in the method
  383    ControlStatementBraces                         Code Style              1346        This statement should have braces
  384    LocalVariableCouldBeFinal                      Code Style              1350        Local variable 'meta' could be declared final
  385    OnlyOneReturn                                  Code Style              1356        A method should have only one exit point, and that should be the last statement in the method
  386    ControlStatementBraces                         Code Style              1356        This statement should have braces
  387    OnlyOneReturn                                  Code Style              1357        A method should have only one exit point, and that should be the last statement in the method
  388    OnlyOneReturn                                  Code Style              1363        A method should have only one exit point, and that should be the last statement in the method
  389    ControlStatementBraces                         Code Style              1363        This statement should have braces
  390    OnlyOneReturn                                  Code Style              1364        A method should have only one exit point, and that should be the last statement in the method
  391    OnlyOneReturn                                  Code Style              1372        A method should have only one exit point, and that should be the last statement in the method
  392    ControlStatementBraces                         Code Style              1372        This statement should have braces
  393    LocalVariableCouldBeFinal                      Code Style              1374        Local variable 'arr' could be declared final
  394    ExceptionAsFlowControl                         Design                  1380-1384   Exception thrown at line 1,378 is caught in this block.
  395    AvoidRethrowingException                       Design                  1384-1386   A catch statement that catches an exception only to rethrow it should be avoided.
  396    AvoidCatchingGenericException                  Design                  1387        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  397    CyclomaticComplexity                           Design                  1397        The method 'newStateManagerImpl(Object, boolean)' has a cyclomatic complexity of 10.
  398    MethodArgumentCouldBeFinal                     Code Style              1397        Parameter 'copy' is not assigned and could be declared final
  399    ShortVariable                                  Code Style              1399        Avoid variables with short names like sm
  400    OnlyOneReturn                                  Code Style              1403        A method should have only one exit point, and that should be the last statement in the method
  401    ControlStatementBraces                         Code Style              1403        This statement should have braces
  402    LocalVariableCouldBeFinal                      Code Style              1407        Local variable 'pcType' could be declared final
  403    LocalVariableCouldBeFinal                      Code Style              1408        Local variable 'meta' could be declared final
  404    ControlStatementBraces                         Code Style              1410        This statement should have braces
  405    ControlStatementBraces                         Code Style              1412        This statement should have braces
  406    AvoidReassigningParameters                     Best Practices          1417        Avoid reassigning parameters such as 'oid'
  407    ControlStatementBraces                         Code Style              1417        This statement should have braces
  408    ControlStatementBraces                         Code Style              1419        This statement should have braces
  409    ControlStatementBraces                         Code Style              1421        This statement should have braces
  410    MethodArgumentCouldBeFinal                     Code Style              1432        Parameter 'oid' is not assigned and could be declared final
  411    MethodArgumentCouldBeFinal                     Code Style              1433        Parameter 'meta' is not assigned and could be declared final
  412    ControlStatementBraces                         Code Style              1446        This statement should have braces
  413    CyclomaticComplexity                           Design                  1457        The method 'beginInternal()' has a cyclomatic complexity of 12.
  414    ControlStatementBraces                         Code Style              1471-1472   This statement should have braces
  415    ControlStatementBraces                         Code Style              1476        This statement should have braces
  416    PreserveStackTrace                             Best Practices          1477        Thrown exception does not preserve the stack trace of exception 'ke' on all code paths
  417    AvoidCatchingGenericException                  Design                  1478        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  418    ControlStatementBraces                         Code Style              1481        This statement should have braces
  419    ShortVariable                                  Code Style              1486        Avoid variables with short names like sm
  420    LocalVariableCouldBeFinal                      Code Style              1487        Local variable 'stateManager' could be declared final
  421    ControlStatementBraces                         Code Style              1491        This statement should have braces
  422    NullAssignment                                 Error Prone             1493        Assigning an Object to null is a code smell.  Consider refactoring.
  423    ControlStatementBraces                         Code Style              1503        This statement should have braces
  424    AvoidRethrowingException                       Design                  1504-1506   A catch statement that catches an exception only to rethrow it should be avoided.
  425    AvoidCatchingGenericException                  Design                  1506        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  426    MethodArgumentCouldBeFinal                     Code Style              1516        Parameter 'optimistic' is not assigned and could be declared final
  427    ConfusingTernary                               Code Style              1517-1525   Avoid if (x != y) ..; else ..;
  428    ControlStatementBraces                         Code Style              1523        This statement should have braces
  429    CognitiveComplexity                            Design                  1533        The method 'endStoreManagerTransaction(boolean)' has a cognitive complexity of 25, current thresh...
  430    CyclomaticComplexity                           Design                  1533        The method 'endStoreManagerTransaction(boolean)' has a cyclomatic complexity of 13.
  431    MethodArgumentCouldBeFinal                     Code Style              1533        Parameter 'rollback' is not assigned and could be declared final
  432    UnusedAssignment                               Best Practices          1535        The initializer for variable 'releaseConn' is never used (overwritten on lines 1539 and 1562)
  433    ConfusingTernary                               Code Style              1538-1564   Avoid if (x != y) ..; else ..;
  434    ControlStatementBraces                         Code Style              1541        This statement should have braces
  435    LocalVariableCouldBeFinal                      Code Style              1544        Local variable 'queryCache' could be declared final
  436    LooseCoupling                                  Best Practices          1547        Avoid using implementation types like 'Collection'; use the interface instead
  437    LocalVariableCouldBeFinal                      Code Style              1547        Local variable 'pers' could be declared final
  438    LooseCoupling                                  Best Practices          1548        Avoid using implementation types like 'Collection'; use the interface instead
  439    LocalVariableCouldBeFinal                      Code Style              1548        Local variable 'del' could be declared final
  440    LooseCoupling                                  Best Practices          1549        Avoid using implementation types like 'Collection'; use the interface instead
  441    ShortVariable                                  Code Style              1549        Avoid variables with short names like up
  442    LocalVariableCouldBeFinal                      Code Style              1549        Local variable 'up' could be declared final
  443    LocalVariableCouldBeFinal                      Code Style              1550        Local variable 'size' could be declared final
  444    LooseCoupling                                  Best Practices          1552        Avoid using implementation types like 'Collection'; use the interface instead
  445    LocalVariableCouldBeFinal                      Code Style              1552        Local variable 'types' could be declared final
  446    AvoidCatchingGenericException                  Design                  1566        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  447    EmptyCatchBlock                                Error Prone             1569        Avoid empty catch blocks
  448    AvoidCatchingGenericException                  Design                  1569        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  449    AvoidCatchingGenericException                  Design                  1579        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  450    ControlStatementBraces                         Code Style              1581        This statement should have braces
  451    ControlStatementBraces                         Code Style              1586        This statement should have braces
  452    LocalVariableCouldBeFinal                      Code Style              1596        Local variable 'trans' could be declared final
  453    ControlStatementBraces                         Code Style              1599        This statement should have braces
  454    ExceptionAsFlowControl                         Design                  1604-1608   Exception thrown at line 1,599 is caught in this block.
  455    ControlStatementBraces                         Code Style              1606        This statement should have braces
  456    AvoidDuplicateLiterals                         Error Prone             1606        The String literal "end-trans-error" appears 8 times in this file; the first occurrence is on lin...
  457    AvoidCatchingGenericException                  Design                  1608        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  458    ControlStatementBraces                         Code Style              1610        This statement should have braces
  459    LocalVariableCouldBeFinal                      Code Style              1623        Local variable 'trans' could be declared final
  460    ControlStatementBraces                         Code Style              1626        This statement should have braces
  461    ControlStatementBraces                         Code Style              1629        This statement should have braces
  462    AvoidCatchingGenericException                  Design                  1631        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  463    ControlStatementBraces                         Code Style              1633        This statement should have braces
  464    OnlyOneReturn                                  Code Style              1646        A method should have only one exit point, and that should be the last statement in the method
  465    ControlStatementBraces                         Code Style              1646        This statement should have braces
  466    ControlStatementBraces                         Code Style              1648        This statement should have braces
  467    OnlyOneReturn                                  Code Style              1651        A method should have only one exit point, and that should be the last statement in the method
  468    MethodArgumentCouldBeFinal                     Code Style              1669        Parameter 'commit' is not assigned and could be declared final
  469    ControlStatementBraces                         Code Style              1673        This statement should have braces
  470    ControlStatementBraces                         Code Style              1675        This statement should have braces
  471    OnlyOneReturn                                  Code Style              1687        A method should have only one exit point, and that should be the last statement in the method
  472    ControlStatementBraces                         Code Style              1687        This statement should have braces
  473    LocalVariableCouldBeFinal                      Code Style              1689        Local variable 'trans' could be declared final
  474    SimplifyBooleanReturns                         Design                  1691-1692   This if statement can be replaced by `return !{condition} || {elseBranch};`
  475    OnlyOneReturn                                  Code Style              1692        A method should have only one exit point, and that should be the last statement in the method
  476    ControlStatementBraces                         Code Style              1692        This statement should have braces
  477    AvoidRethrowingException                       Design                  1694-1696   A catch statement that catches an exception only to rethrow it should be avoided.
  478    AvoidCatchingGenericException                  Design                  1696        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  479    OnlyOneReturn                                  Code Style              1708        A method should have only one exit point, and that should be the last statement in the method
  480    ControlStatementBraces                         Code Style              1708        This statement should have braces
  481    LocalVariableCouldBeFinal                      Code Style              1710        Local variable 'trans' could be declared final
  482    OnlyOneReturn                                  Code Style              1713        A method should have only one exit point, and that should be the last statement in the method
  483    ControlStatementBraces                         Code Style              1713        This statement should have braces
  484    OnlyOneReturn                                  Code Style              1715        A method should have only one exit point, and that should be the last statement in the method
  485    ControlStatementBraces                         Code Style              1715        This statement should have braces
  486    AvoidRethrowingException                       Design                  1718-1720   A catch statement that catches an exception only to rethrow it should be avoided.
  487    AvoidCatchingGenericException                  Design                  1720        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  488    MethodArgumentCouldBeFinal                     Code Style              1733        Parameter 'cause' is not assigned and could be declared final
  489    CyclomaticComplexity                           Design                  1746        The method 'setRollbackOnlyInternal(Throwable)' has a cyclomatic complexity of 11.
  490    MethodArgumentCouldBeFinal                     Code Style              1746        Parameter 'cause' is not assigned and could be declared final
  491    LocalVariableCouldBeFinal                      Code Style              1748        Local variable 'trans' could be declared final
  492    ControlStatementBraces                         Code Style              1751        This statement should have braces
  493    LocalVariableCouldBeFinal                      Code Style              1753        Local variable 'tranStatus' could be declared final
  494    ConfusingTernary                               Code Style              1754-1759   Avoid if (x != y) ..; else ..;
  495    ControlStatementBraces                         Code Style              1757        This statement should have braces
  496    ControlStatementBraces                         Code Style              1759        This statement should have braces
  497    AvoidRethrowingException                       Design                  1760-1762   A catch statement that catches an exception only to rethrow it should be avoided.
  498    AvoidCatchingGenericException                  Design                  1762        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  499    CyclomaticComplexity                           Design                  1768        The method 'setSavepoint(String)' has a cyclomatic complexity of 14.
  500    MethodArgumentCouldBeFinal                     Code Style              1768        Parameter 'name' is not assigned and could be declared final
  501    ControlStatementBraces                         Code Style              1773        This statement should have braces
  502    ControlStatementBraces                         Code Style              1776-1777   This statement should have braces
  503    LocalVariableCouldBeFinal                      Code Style              1779        Local variable 'save' could be declared final
  504    ControlStatementBraces                         Code Style              1785        This statement should have braces
  505    AvoidRethrowingException                       Design                  1792-1794   A catch statement that catches an exception only to rethrow it should be avoided.
  506    AvoidCatchingGenericException                  Design                  1794        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  507    ControlStatementBraces                         Code Style              1806        This statement should have braces
  508    CyclomaticComplexity                           Design                  1815        The method 'releaseSavepoint(String)' has a cyclomatic complexity of 10.
  509    MethodArgumentCouldBeFinal                     Code Style              1815        Parameter 'savepoint' is not assigned and could be declared final
  510    LocalVariableCouldBeFinal                      Code Style              1820        Local variable 'index' could be declared final
  511    ControlStatementBraces                         Code Style              1823        This statement should have braces
  512    ControlStatementBraces                         Code Style              1836        This statement should have braces
  513    AvoidRethrowingException                       Design                  1837-1839   A catch statement that catches an exception only to rethrow it should be avoided.
  514    AvoidCatchingGenericException                  Design                  1839        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  515    ControlStatementBraces                         Code Style              1851        This statement should have braces
  516    CognitiveComplexity                            Design                  1860        The method 'rollbackToSavepoint(String)' has a cognitive complexity of 15, current threshold is 15
  517    CyclomaticComplexity                           Design                  1860        The method 'rollbackToSavepoint(String)' has a cyclomatic complexity of 14.
  518    MethodArgumentCouldBeFinal                     Code Style              1860        Parameter 'savepoint' is not assigned and could be declared final
  519    LocalVariableCouldBeFinal                      Code Style              1865        Local variable 'index' could be declared final
  520    ControlStatementBraces                         Code Style              1868        This statement should have braces
  521    LooseCoupling                                  Best Practices          1879        Avoid using implementation types like 'Collection'; use the interface instead
  522    LocalVariableCouldBeFinal                      Code Style              1879        Local variable 'saved' could be declared final
  523    ControlStatementBraces                         Code Style              1881        This statement should have braces
  524    LocalVariableCouldBeFinal                      Code Style              1884        Local variable 'oldTransCache' could be declared final
  525    LocalVariableCouldBeFinal                      Code Style              1885        Local variable 'newTransCache' could be declared final
  526    NullAssignment                                 Error Prone             1887        Assigning an Object to null is a code smell.  Consider refactoring.
  527    ShortVariable                                  Code Style              1895        Avoid variables with short names like fm
  528    ShortVariable                                  Code Style              1896        Avoid variables with short names like sm
  529    LocalVariableCouldBeFinal                      Code Style              1897        Local variable 'value' could be declared final
  530    ControlStatementBraces                         Code Style              1903        This statement should have braces
  531    ControlStatementBraces                         Code Style              1905        This statement should have braces
  532    LocalVariableCouldBeFinal                      Code Style              1907        Local variable 'o' could be declared final
  533    AvoidRethrowingException                       Design                  1915-1917   A catch statement that catches an exception only to rethrow it should be avoided.
  534    AvoidCatchingGenericException                  Design                  1917        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  535    MethodArgumentCouldBeFinal                     Code Style              1929        Parameter 'flag' is not assigned and could be declared final
  536    MethodArgumentCouldBeFinal                     Code Style              1938        Parameter 'flag' is not assigned and could be declared final
  537    CyclomaticComplexity                           Design                  1944        The method 'flush()' has a cyclomatic complexity of 13.
  538    ControlStatementBraces                         Code Style              1952        This statement should have braces
  539    ControlStatementBraces                         Code Style              1956-1957   This statement should have braces
  540    ControlStatementBraces                         Code Style              1960-1961   This statement should have braces
  541    PreserveStackTrace                             Best Practices          1969        Thrown exception does not preserve the stack trace of exception 'ke' on all code paths
  542    AvoidCatchingGenericException                  Design                  1970        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  543    ControlStatementBraces                         Code Style              1986        This statement should have braces
  544    OnlyOneReturn                                  Code Style              1998        A method should have only one exit point, and that should be the last statement in the method
  545    ControlStatementBraces                         Code Style              1998        This statement should have braces
  546    ControlStatementBraces                         Code Style              2006-2007   This statement should have braces
  547    AvoidRethrowingException                       Design                  2011-2013   A catch statement that catches an exception only to rethrow it should be avoided.
  548    AvoidCatchingGenericException                  Design                  2013        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  549    CommentDefaultAccessModifier                   Code Style              2048        Missing commented default access modifier on method 'isTransactionEnding()'
  550    MethodArgumentCouldBeFinal                     Code Style              2053        Parameter 'syncTrans' is not assigned and could be declared final
  551    ControlStatementBraces                         Code Style              2060        This statement should have braces
  552    AvoidCatchingGenericException                  Design                  2065        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  553    CyclomaticComplexity                           Design                  2076        The method 'endOperation()' has a cyclomatic complexity of 11.
  554    AvoidLiteralsInIfCondition                     Error Prone             2082        Avoid using literals in if statements
  555    ControlStatementBraces                         Code Style              2083        This statement should have braces
  556    AvoidRethrowingException                       Design                  2085-2087   A catch statement that catches an exception only to rethrow it should be avoided.
  557    AvoidCatchingGenericException                  Design                  2087        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  558    ControlStatementBraces                         Code Style              2092        This statement should have braces
  559    MethodArgumentCouldBeFinal                     Code Style              2101        Parameter 'sync' is not assigned and could be declared final
  560    ControlStatementBraces                         Code Style              2116        This statement should have braces
  561    ControlStatementBraces                         Code Style              2121        This statement should have braces
  562    AvoidCatchingGenericException                  Design                  2123        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  563    ControlStatementBraces                         Code Style              2125        This statement should have braces
  564    CognitiveComplexity                            Design                  2133        The method 'afterCompletion(int)' has a cognitive complexity of 16, current threshold is 15
  565    CyclomaticComplexity                           Design                  2133        The method 'afterCompletion(int)' has a cyclomatic complexity of 16.
  566    MethodArgumentCouldBeFinal                     Code Style              2133        Parameter 'status' is not assigned and could be declared final
  567    ControlStatementBraces                         Code Style              2141        This statement should have braces
  568    ConfusingTernary                               Code Style              2143-2148   Avoid if (x != y) ..; else ..;
  569    ControlStatementBraces                         Code Style              2144        This statement should have braces
  570    ControlStatementBraces                         Code Style              2155        This statement should have braces
  571    ControlStatementBraces                         Code Style              2158        This statement should have braces
  572    AvoidCatchingGenericException                  Design                  2160        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  573    ControlStatementBraces                         Code Style              2162        This statement should have braces
  574    ShortVariable                                  Code Style              2188        Avoid variables with short names like re
  575    MethodArgumentCouldBeFinal                     Code Style              2188        Parameter 're' is not assigned and could be declared final
  576    MethodArgumentCouldBeFinal                     Code Style              2195        Parameter 'reason' is not assigned and could be declared final
  577    ControlStatementBraces                         Code Style              2197        This statement should have braces
  578    NcssCount                                      Design                  2217        The method 'flush(int)' has a NCSS line count of 63.
  579    CognitiveComplexity                            Design                  2217        The method 'flush(int)' has a cognitive complexity of 46, current threshold is 15
  580    CyclomaticComplexity                           Design                  2217        The method 'flush(int)' has a cyclomatic complexity of 34.
  581    NPathComplexity                                Design                  2217        The method 'flush(int)' has an NPath complexity of 195360, current threshold is 200
  582    MethodArgumentCouldBeFinal                     Code Style              2217        Parameter 'reason' is not assigned and could be declared final
  583    LooseCoupling                                  Best Practices          2220        Avoid using implementation types like 'Collection'; use the interface instead
  584    PrematureDeclaration                           Code Style              2220        Declaration of 'transactional' can be moved closer to its usages
  585    LocalVariableCouldBeFinal                      Code Style              2220        Local variable 'transactional' could be declared final
  586    LocalVariableCouldBeFinal                      Code Style              2228        Local variable 'listeners' could be declared final
  587    ControlStatementBraces                         Code Style              2233        This statement should have braces
  588    LooseCoupling                                  Best Practices          2235        Avoid using implementation types like 'Collection'; use the interface instead
  589    LocalVariableCouldBeFinal                      Code Style              2240        Local variable 'o' could be declared final
  590    LongVariable                                   Code Style              2253        Avoid excessively long variable names like statesMarkedForDelete
  591    LocalVariableCouldBeFinal                      Code Style              2253        Local variable 'statesMarkedForDelete' could be declared final
  592    LocalVariableCouldBeFinal                      Code Style              2254        Local variable 'state' could be declared final
  593    ControlStatementBraces                         Code Style              2267        This statement should have braces
  594    NullAssignment                                 Error Prone             2296        Assigning an Object to null is a code smell.  Consider refactoring.
  595    NullAssignment                                 Error Prone             2297        Assigning an Object to null is a code smell.  Consider refactoring.
  596    ControlStatementBraces                         Code Style              2301        This statement should have braces
  597    NullAssignment                                 Error Prone             2301        Assigning an Object to null is a code smell.  Consider refactoring.
  598    ControlStatementBraces                         Code Style              2316        This statement should have braces
  599    ControlStatementBraces                         Code Style              2318        This statement should have braces
  600    ShortVariable                                  Code Style              2322        Avoid variables with short names like sm
  601    LocalVariableCouldBeFinal                      Code Style              2323        Local variable 'o' could be declared final
  602    LawOfDemeter                                   Design                  2329        Access to field `TRANSIENT` on foreign value `PCState` (degree 1)
  603    ControlStatementBraces                         Code Style              2330        This statement should have braces
  604    AvoidCatchingGenericException                  Design                  2342        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  605    LooseCoupling                                  Best Practices          2363        Avoid using implementation types like 'Collection'; use the interface instead
  606    MethodArgumentCouldBeFinal                     Code Style              2363        Parameter 'transactional' is not assigned and could be declared final
  607    MethodArgumentCouldBeFinal                     Code Style              2363        Parameter 'reason' is not assigned and could be declared final
  608    LooseCoupling                                  Best Practices          2375        Avoid using implementation types like 'Collection'; use the interface instead
  609    MethodArgumentCouldBeFinal                     Code Style              2375        Parameter 'transactional' is not assigned and could be declared final
  610    MethodArgumentCouldBeFinal                     Code Style              2375        Parameter 'reason' is not assigned and could be declared final
  611    OnlyOneReturn                                  Code Style              2377        A method should have only one exit point, and that should be the last statement in the method
  612    ControlStatementBraces                         Code Style              2377        This statement should have braces
  613    LocalVariableCouldBeFinal                      Code Style              2383        Local variable 'states' could be declared final
  614    NullAssignment                                 Error Prone             2385        Assigning an Object to null is a code smell.  Consider refactoring.
  615    LocalVariableCouldBeFinal                      Code Style              2387        Local variable 'state' could be declared final
  616    LooseCoupling                                  Best Practices          2396        Avoid using implementation types like 'Collection'; use the interface instead
  617    MethodArgumentCouldBeFinal                     Code Style              2396        Parameter 'derefs' is not assigned and could be declared final
  618    OnlyOneReturn                                  Code Style              2398        A method should have only one exit point, and that should be the last statement in the method
  619    ControlStatementBraces                         Code Style              2398        This statement should have braces
  620    LocalVariableCouldBeFinal                      Code Style              2403        Local variable 'states' could be declared final
  621    NullAssignment                                 Error Prone             2405        Assigning an Object to null is a code smell.  Consider refactoring.
  622    LocalVariableCouldBeFinal                      Code Style              2407        Local variable 'state' could be declared final
  623    ShortVariable                                  Code Style              2416        Avoid variables with short names like sm
  624    MethodArgumentCouldBeFinal                     Code Style              2416        Parameter 'sm' is not assigned and could be declared final
  625    LocalVariableCouldBeFinal                      Code Style              2417        Local variable 'action' could be declared final
  626    LawOfDemeter                                   Design                  2419        Access to field `ACT_RUN` on foreign value `OpCallbacks` (degree 1)
  627    ControlStatementBraces                         Code Style              2420        This statement should have braces
  628    LawOfDemeter                                   Design                  2421        Access to field `ACT_CASCADE` on foreign value `OpCallbacks` (degree 1)
  629    ControlStatementBraces                         Code Style              2422        This statement should have braces
  630    ShortVariable                                  Code Style              2429        Avoid variables with short names like op
  631    MethodArgumentCouldBeFinal                     Code Style              2429        Parameter 'op' is not assigned and could be declared final
  632    MethodArgumentCouldBeFinal                     Code Style              2429        Parameter 'obj' is not assigned and could be declared final
  633    ShortVariable                                  Code Style              2429        Avoid variables with short names like sm
  634    MethodArgumentCouldBeFinal                     Code Style              2429        Parameter 'sm' is not assigned and could be declared final
  635    MethodArgumentCouldBeFinal                     Code Style              2430        Parameter 'call' is not assigned and could be declared final
  636    OnlyOneReturn                                  Code Style              2432        A method should have only one exit point, and that should be the last statement in the method
  637    ControlStatementBraces                         Code Style              2432        This statement should have braces
  638    OnlyOneReturn                                  Code Style              2434        A method should have only one exit point, and that should be the last statement in the method
  639    ControlStatementBraces                         Code Style              2434        This statement should have braces
  640    LawOfDemeter                                   Design                  2435        Access to field `ACT_RUN` on foreign value `OpCallbacks` (degree 1)
  641    LawOfDemeter                                   Design                  2435        Access to field `ACT_CASCADE` on foreign value `OpCallbacks` (degree 1)
  642    CognitiveComplexity                            Design                  2442        The method 'newFlushException(Collection<Exception>)' has a cognitive complexity of 16, current t...
  643    CyclomaticComplexity                           Design                  2442        The method 'newFlushException(Collection<Exception>)' has a cyclomatic complexity of 12.
  644    NPathComplexity                                Design                  2442        The method 'newFlushException(Collection<Exception>)' has an NPath complexity of 240, current thr...
  645    LooseCoupling                                  Best Practices          2442        Avoid using implementation types like 'Collection'; use the interface instead
  646    MethodArgumentCouldBeFinal                     Code Style              2442        Parameter 'exceps' is not assigned and could be declared final
  647    OnlyOneReturn                                  Code Style              2444        A method should have only one exit point, and that should be the last statement in the method
  648    ControlStatementBraces                         Code Style              2444        This statement should have braces
  649    ShortVariable                                  Code Style              2446        Avoid variables with short names like t
  650    LocalVariableCouldBeFinal                      Code Style              2446        Local variable 't' could be declared final
  651    LocalVariableCouldBeFinal                      Code Style              2447        Local variable 'failed' could be declared final
  652    ShortVariable                                  Code Style              2455        Avoid variables with short names like f
  653    LocalVariableCouldBeFinal                      Code Style              2455        Local variable 'f' could be declared final
  654    ControlStatementBraces                         Code Style              2457        This statement should have braces
  655    OnlyOneReturn                                  Code Style              2462        A method should have only one exit point, and that should be the last statement in the method
  656    OnlyOneReturn                                  Code Style              2464        A method should have only one exit point, and that should be the last statement in the method
  657    OnlyOneReturn                                  Code Style              2468        A method should have only one exit point, and that should be the last statement in the method
  658    ControlStatementBraces                         Code Style              2468        This statement should have braces
  659    CognitiveComplexity                            Design                  2482        The method 'endTransaction(int)' has a cognitive complexity of 27, current threshold is 15
  660    CyclomaticComplexity                           Design                  2482        The method 'endTransaction(int)' has a cyclomatic complexity of 20.
  661    NPathComplexity                                Design                  2482        The method 'endTransaction(int)' has an NPath complexity of 27648, current threshold is 200
  662    MethodArgumentCouldBeFinal                     Code Style              2482        Parameter 'status' is not assigned and could be declared final
  663    AvoidCatchingGenericException                  Design                  2490        Avoid catching generic exceptions such as NullPointerException, RuntimeException, Exception in tr...
  664    LooseCoupling                                  Best Practices          2500        Avoid using implementation types like 'Collection'; use the interface instead
  665    LocalVariableCouldBeFinal                      Code Style              2500        Local variable 'transStates' could be declared final
  666    ControlStatementBraces                         Code Style              2502        This statement should have braces
  667    ControlStatementBraces                         Code Style              2504        This statement should have braces
  668    LooseCoupling                                  Best Practices          2507        Avoid using implementation types like 'Collection'; use the interface instead
  669    LocalVariableCouldBeFinal                      Code Style              2510        Local variable 'eventType' could be declared final
  670    UselessParentheses                             Code Style              2510        Useless parentheses.
  671    NullAssignment                                 Error Prone             2520        Assigning an Object to null is a code smell.  Consider refactoring.
